Probe	GeneID	MOCK_1	MOCK_2	MOCK_3	TATCRE.1	TATCRE_2	TATCRE_3
T3u3XiRSSUJe9OOO5E	BRD9	9.72985465772476	10.1000017398773	9.82354026639275	9.82640796600807	10.0244484711252	10.134264782495
9inl_SOaCSE9eg1HSw	CDK20	7.85669370494079	8.02940812282292	8.19729409919326	8.19830254370021	8.23040334334717	8.26833227539485
0kUf1BCF4B0mlxAdcU	GOLM1	8.56616708943013	8.79913785271539	8.64910424009508	8.86360352745607	8.698986634898	8.90912315051748
K4J8IBVQglViiehLro	DUSP22	7.65930858839639	7.87631992991459	7.72101452951382	7.73106457507901	7.80651116763566	7.84077046053017
Et7nfC_eCQeO8DqFPI	UTP15	10.0496592571685	8.96310275230923	9.83357505315576	9.5919549527854	9.55075195184401	9.61724894557577
WreAnJu0FxPvEe4PiQ	SLF1	8.37406707232647	8.22669218197829	8.6699150238295	8.74297778093813	8.76760402063608	8.736741384992
6KsV1T5lP0eTgIo734	FAM149B	7.88708830987133	8.46315992563	8.13655969993588	8.06528820452356	8.20166572136688	8.08343771162417
iV_CDqCC4A4q7vFyek	SLAIN1	8.1535018524465	8.01492291382891	8.10439819551159	7.91426531494214	7.98735186953745	8.04818698900473
Q19EsCp8TqiiJHX8So	KCTD9	8.53769538741166	8.04402836708184	8.40975314583792	8.33687142307635	8.40623746769542	8.28185773737525
6gcLj6wFcJXs4uioy8	DOCK9	8.86850819362286	8.33491973181184	8.46223903378781	8.42630727254853	8.54533232321659	8.60760599401782
cpJX63oCoKeag07wkk	GMPR2	9.58120676179499	9.13364250067242	9.41224243167086	9.57216500128346	9.85445761826182	9.58749210362891
cd1Lg3T1K153CneqHI	ABHD4	8.43322010185372	8.55111424055343	8.09207617038386	8.45020549184895	8.54688212130038	8.66674389673108
EzAXE4e8w16AO_u0gA	EXOC5	7.64151401607638	7.63754031266335	7.73941407139594	7.81200938335256	7.52439216719332	7.68909173836813
T3S9BJ1rLyoHB1H5Eo	MBNL2	10.6582108466884	11.1963597546663	10.9297857848393	11.2582768024227	11.2530051584042	11.1963710066321
rsebo0vTyBh_T5QnDA	DPH3	8.55425741818822	8.21677775004413	8.60045506777044	8.80131363867407	8.72312624881753	8.70832600137449
oq4X.iiB1c6Ftc5e5I	THTPA	8.97413064314885	8.57954600318832	8.68910482331277	8.96728454393059	9.09680223082402	9.05143551910448
NtLd4.TF7u1739KspU	RCBTB2	7.58660573544166	7.78445473540295	7.75500719510718	7.82819635619549	7.87637685262074	7.95557944309518
reXhdOe90IqC7fekp8	PPIF	12.2241993280644	11.8067622825907	12.335734389767	11.9609604698851	11.9274982424451	11.995117043643
Tq5pu5IDnRG.yB.SNc	MYCBP2	9.73683075266543	10.1186487511776	10.0797233525247	9.99387562509651	9.8436632760029	9.8743989341625
T0CS73qf_LJUqrS7qI	ANO6	7.67966754211636	7.55207092311334	7.53106567456461	7.45988548499787	7.64451056710908	7.47866530949481
0nnt5xwIl0gaCA.q_E	SLC38A1	8.36212647819582	8.25693307686136	8.15064954215988	8.01852264660911	7.79876719592853	8.04580781755275
H15ImGp3IpIgmJ3uio	SCRIB	7.47064254886725	7.79132851296737	7.68373688770003	7.85660872422949	7.65391270169769	7.60293969258666
oF8LzuDp4shXDue79I	AMIGO2	11.4158296837352	10.6576208870277	11.251567047861	11.4166110202256	11.395339677987	11.1482623805636
r7cQbTYJZUT5dUzXuE	CCDC65	9.30260450281547	8.67461347787708	8.80474619753442	8.97816940894518	9.20323516476969	9.00520882504176
x6l1UvSnFGntAJMS64	SGSM3	8.6571568307812	8.38193917868841	8.42991065493964	8.54941418488135	8.54378089907325	8.47837397230654
cU4ifRpeSUiHfYTdQs	MTBP	10.0652631320657	10.3013809717067	10.1242523659806	10.2357160279765	10.0944629033661	10.5311183176291
KpSaUKkSvRHt.sAthQ	DENND3	9.46310359063826	9.51706000377592	9.72711581932405	9.24096696141773	9.03536780530382	8.95884073036925
